animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Kin2,19,BP034-044,34,44,33.100743428953905,678.4491633253951,666.1495675542686,690.5740394241177,696.9496746180446,684.5116013747564,681.5496210861565,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,20,BP035-045,35,45,27.05918449420545,744.8472943422098,674.8607089460436,748.8889197084504,701.6163575064954,746.8681070253301,688.2385332262695,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,21,BP036-047,36,47,26.133424175325104,265.33731339034426,758.8610009381598,265.33731339034426,784.9944251134849,265.33731339034426,771.9277130258224,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,22,BP037-048,37,48,36.7214530340072,325.0956313054774,737.705371843849,325.96169388395754,774.4166105663295,325.5286625947175,756.0609912050893,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,23,BP038-049,38,49,31.235379190501963,380.81232385436965,713.4386208239043,386.00869932525075,744.2387278876804,383.4105115898102,728.8386743557924,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,24,BP039-050,39,50,31.83962978513885,439.70457919102273,692.9052161147205,437.10639145558207,724.6386597561866,438.4054853233024,708.7719379354535,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,25,BP042-053,42,53,30.494461303782238,574.8103414339324,686.9940844560159,574.2329663816122,717.4830793272286,574.5216539077724,702.2385818916223,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,26,BP046-088,46,88,29.59012453726144,786.4182981092589,728.3720060669473,778.9124224290972,756.9943277827795,782.6653602691781,742.6831669248634,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,27,BP051-060,51,60,28.290284306277663,474.3470823302301,724.9497719487499,478.388707696471,752.9498692794554,476.36789501335056,738.9498206141027,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,28,BP052-061,52,61,39.520739098682554,524.5787118820813,710.9497232833971,523.712649303601,750.4609717389483,524.1456805928411,730.7053475111727,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
