animal,fold,heldout_date,training_dates,lambda,k,evaluation,candidate,Q,Cspec,Aspec,Deff,Deff_frac,Gpair,WMI,Oorg,top_share,singular_values
Kin2,LODO,20110524,20110513;20110525,0.01,4,recovery_eyes_closed,9;27;35;56,0.3586802695932082,0.3740360404181875,0.9589457454211872,3.71519948403015,0.9287998710075376,0.5256798475776704,0.1751261346784589,0.4882513746214022,0.3862168004794577,0.138528346117;0.101453549099;0.0719651984427;0.046733175934
Kin2,LODO,20110524,20110513;20110525,0.01,4,recovery_eyes_open,9;27;35;56,0.2953641483828575,0.3396261897222462,0.8696742398588663,3.662593384510622,0.9156483461276556,0.6374643530649371,0.1724020392045775,0.5836931805992456,0.3731493586791267,0.110214942546;0.0914108368182;0.0620143079463;0.0317240610725
Kin2,LODO,20110524,20110513;20110525,0.01,5,heldout_awake,9;21;27;35;37,0.3660057522150747,0.4115798684202804,0.8892702979372448,4.397724261310168,0.8795448522620337,0.740746454313062,0.2384599691260176,0.6515197307224074,0.3517179021117489,0.12873077533;0.101459447474;0.0624631795519;0.044739231826;0.0286131180327
Kin2,LODO,20110524,20110513;20110525,0.01,5,deep_anesthesia,9;21;27;35;37,1.55335702844129,1.9027871513550956,0.8163587962715881,4.342423695468407,0.8684847390936813,0.5663808503460532,0.7640856430235337,0.4918931250404494,0.3926177206678343,0.60987549589;0.353793343212;0.282682926173;0.180593179694;0.126412083473
Kin2,LODO,20110524,20110513;20110525,0.01,5,eyes_open,9;21;27;35;37,0.2419401449964187,0.2771240475679939,0.8730391574446724,4.300103246404847,0.8600206492809693,0.7374840718187482,0.1534509072001274,0.6342515302799329,0.3758166070081477,0.0909251243916;0.0648982284069;0.0415000557699;0.0270071126273;0.0176096238008
Kin2,LODO,20110524,20110513;20110525,0.01,5,eyes_closed,9;21;27;35;37,0.6541237543440406,0.7392760761643257,0.8848166137580279,4.162138020138959,0.8324276040277917,0.6076705732412377,0.3308831107113074,0.5058417593213983,0.3934879056644852,0.257389786142;0.187666290664;0.0968678842631;0.0671452308135;0.0450545624615
Kin2,LODO,20110524,20110513;20110525,0.01,5,recovery_eyes_closed,9;21;27;35;37,0.4437154214882738,0.4885198158192408,0.9082854105808776,3.981584589973485,0.796316917994697,0.5171558838863161,0.1827308758162657,0.4118199795791745,0.4538995436824451,0.201402227338;0.101566105659;0.069336566145;0.048132215795;0.0232783065511
Kin2,LODO,20110524,20110513;20110525,0.01,5,recovery_eyes_open,9;21;27;35;37,0.3468830440950207,0.3878633826475741,0.8943433683457829,4.383139675022068,0.8766279350044135,0.7271847428717712,0.221127693515618,0.6374704595103962,0.3444866369019912,0.119496573259;0.0978972962552;0.0640531877485;0.0391792453962;0.0262567414365
Kin2,LODO,20110525,20110513;20110524,0.01,3,heldout_awake,27;35;37,0.2600471735857356,0.2849706342356355,0.9125402492198854,2.828944993785239,0.9429816645950796,0.7185834698892504,0.1762108348548649,0.6776110365866735,0.4447281263911652,0.115650292282;0.0964734314034;0.0479234499002
Kin2,LODO,20110525,20110513;20110524,0.01,3,deep_anesthesia,27;35;37,0.8058861237243151,0.8258582730898144,0.9758164929549272,2.4939418011163963,0.8313139337054655,0.4084958762525915,0.273669509862302,0.3395883137900028,0.6267646837228286,0.505100961453;0.176141992119;0.124643170153
Kin2,LODO,20110525,20110513;20110524,0.01,3,eyes_open,27;35;37,0.1728413118089299,0.1894487441413876,0.912338123919875,2.8044211315234158,0.9348070438411384,0.6141832528913936,0.0992356000778307,0.574142831012138,0.4649404321235578,0.0803609142012;0.0616692155398;0.0308111820679
Kin2,LODO,20110525,20110513;20110524,0.01,3,eyes_closed,27;35;37,0.4112406591560223,0.4813511315026161,0.8543465097345206,2.8227538522728266,0.9409179507576088,0.7423121884818258,0.2872330383366816,0.6984548632087154,0.4622409063252566,0.190092255006;0.144240993614;0.0769074105356
Kin2,LODO,20110525,20110513;20110524,0.01,3,recovery_eyes_closed,27;35;37,0.1968277279684379,0.2141033548514836,0.9193117413081676,2.77922539324548,0.92640846441516,0.5477652809907648,0.099881095186874,0.507454392822593,0.4846560349427373,0.095393746204;0.0671988445845;0.03423513718
